	Index	Exp. Data Info	Exp. ValuePred. Value	Relative Err.
1		1.491	2.174	6.830
2		-0.020	2.203	22.227 ***
3		-2.865	-2.749	1.155
4		-0.326	-0.200	1.259
5		-0.399	-0.314	0.846
6		-1.427	-1.226	2.010
7		0.171	0.031	-1.401
8		-1.443	-1.400	0.434
9		1.612	0.970	-6.417
10		0.600	1.264	6.641
11		2.380	2.165	-2.145
12		-2.070	-2.258	-1.873
13		0.782	0.448	-3.342
14		-1.394	-1.339	0.556
15		0.549	0.391	-1.581
16		-0.629	-0.509	1.198
17		0.091	-0.137	-2.278
18		0.353	0.526	1.733
19		-1.862	-1.900	-0.386
20		-1.446	-1.389	0.574
21		-1.378	-1.646	-2.686
22		-0.179	-0.011	1.675
23		0.461	0.091	-3.695
24		1.869	1.197	-6.721
25		1.106	0.928	-1.786
26		0.700	0.398	-3.021
27		1.329	0.891	-4.383
28		2.241	1.991	-2.502
29		1.367	0.998	-3.697
30		-0.044	-0.484	-4.397
31		3.078	2.821	-2.574
32		3.112	2.869	-2.422
33		1.029	0.695	-3.342
34		0.979	0.537	-4.420
35		2.281	2.617	3.353
36		-0.471	-0.014	4.568
37		0.354	0.285	-0.692
38		-2.071	-1.654	4.176
39		2.552	2.612	0.597
40		2.140	1.820	-3.206
41		2.562	2.466	-0.959
42		1.391	1.025	-3.656
43		-1.072	-1.219	-1.468
44		-1.470	-1.695	-2.250
45		1.450	1.732	2.825
46		-1.923	-1.764	1.585
47		-2.757	-2.711	0.464
48		0.973	0.679	-2.943
49		0.606	0.335	-2.713
50		-2.879	-2.531	3.482
51		-2.684	-2.285	3.993
52		2.961	2.908	-0.527
53		0.942	0.765	-1.771
54		-1.161	-0.857	3.041
55		0.343	0.303	-0.403
56		0.053	-0.359	-4.121
57		0.157	-0.050	-2.074
58		2.185	2.020	-1.648
59		0.159	-0.165	-3.237
60		-0.287	0.021	3.077
61		0.157	0.410	2.529
62		-0.342	-0.278	0.633
63		1.953	2.273	3.193
64		-0.262	-0.226	0.356
65		-1.364	-1.241	1.233
66		1.041	0.768	-2.722
67		1.569	1.452	-1.173
68		3.088	2.931	-1.579
69		1.528	2.021	4.928
70		-0.434	-0.676	-2.424
