	Index	Exp. Data Info	Exp. ValuePred. Value	Relative Err.
1		1.491	1.513	0.219
2		-0.020	-0.092	-0.715
3		-2.865	-2.939	-0.742
4		-0.326	-0.119	2.072
5		-0.399	-0.234	1.642
6		-1.427	-1.470	-0.431
7		0.171	0.217	0.458
8		-1.443	-1.301	1.421
9		1.612	1.376	-2.355 *
10		0.600	0.709	1.089
11		2.380	2.503	1.232
12		-2.070	-2.075	-0.046
13		0.782	0.883	1.006
14		-1.394	-1.266	1.286
15		0.549	0.669	1.201
16		-0.629	-0.606	0.225
17		0.091	-0.014	-1.044
18		0.353	0.479	1.260
19		-1.862	-1.852	0.097
20		-1.446	-1.440	0.062
21		-1.378	-1.320	0.573
22		-0.179	-0.298	-1.191
23		0.461	0.392	-0.694
24		1.869	1.575	-2.939 **
25		1.106	1.184	0.780
26		0.700	0.654	-0.458
27		1.329	1.246	-0.830
28		2.241	2.280	0.382
29		1.367	1.275	-0.920
30		-0.044	-0.195	-1.511
31		3.078	2.999	-0.794
32		3.112	3.037	-0.751
33		1.029	1.051	0.223
34		0.979	0.981	0.019
35		2.281	2.347	0.656
36		-0.471	-0.444	0.266
37		0.354	0.335	-0.188
38		-2.071	-2.145	-0.739
39		2.552	2.523	-0.290
40		2.140	2.168	0.282
41		2.562	2.618	0.566
42		1.391	1.426	0.358
43		-1.072	-0.916	1.563
44		-1.470	-1.507	-0.364
45		1.450	1.344	-1.054
46		-1.923	-1.818	1.049
47		-2.757	-2.880	-1.228
48		0.973	1.016	0.429
49		0.606	0.529	-0.774
50		-2.879	-2.871	0.084
51		-2.684	-2.623	0.611
52		2.961	2.975	0.142
53		0.942	1.012	0.700
54		-1.161	-1.169	-0.083
55		0.343	0.251	-0.915
56		0.053	-0.188	-2.412 *
57		0.157	0.094	-0.630
58		2.185	2.034	-1.507
59		0.159	0.210	0.505
60		-0.287	-0.184	1.030
61		0.157	0.215	0.582
62		-0.342	-0.329	0.124
63		1.953	1.906	-0.474
64		-0.262	-0.179	0.821
65		-1.364	-1.356	0.075
66		1.041	1.161	1.207
67		1.569	1.872	3.025 ***
68		3.088	3.070	-0.185
69		1.528	1.628	0.999
70		-0.434	-0.558	-1.239
